order_id,customer_id,order_date,status_final,order_amount_eur,paid_eur,open_amount_eur
1,998,2024-12-30,Completed,1831.47,1831.47,0.0
2,50,2025-03-05,Completed,,1167.2572369057993,
3,451,2025-06-01,Completed,1679.93,1679.93,0.0
4,184,2025-03-27,Completed,679.39,679.39,0.0
5,38,2025-07-24,Completed,603.4486043631514,623.5259375922827,-20.07733322913134
6,921,2025-05-19,Completed,47.3,0.0,47.3
7,177,2025-07-19,Completed,714.4654325651682,1860.3159061200327,-1145.8504735548645
8,280,2025-07-03,Cancelled,1745.897170786728,1745.897170786728,0.0
9,935,2025-05-02,Cancelled,238.3983378978185,237.07738542449286,1.320952473325633
10,341,2025-10-23,Completed,1496.5187119234115,1496.5187119234115,0.0
11,292,2024-11-24,Cancelled,824.07,824.07,0.0
12,662,2025-01-30,Cancelled,556.18,556.18,0.0
13,212,2025-06-21,Completed,1838.752052545156,1835.383725414578,3.3683271305778817
14,900,2025-01-07,Cancelled,1279.04,0.0,1279.04
15,123,2025-02-19,Cancelled,389.49476558944014,421.0766997708862,-31.58193418144606
16,184,2025-03-14,Cancelled,10.0,10.0,0.0
17,861,2025-05-07,Cancelled,1818.6044327573254,0.0,1818.6044327573254
18,301,2025-04-13,Completed,1642.21,1642.21,0.0
19,733,2025-03-21,Completed,735.4638009049773,766.4603595638077,-30.996558658830395
20,478,2025-06-17,Cancelled,1329.4664371772806,1368.5342812866074,-39.06784410932687
21,488,2025-03-12,Completed,1808.85,1808.8500000000001,-2.2737367544323206e-13
22,190,2025-02-16,Completed,872.11,872.11,0.0
23,600,2025-01-29,Cancelled,1150.75,1150.75,0.0
24,235,2025-03-14,Completed,1888.595217349211,0.0,1888.595217349211
25,26,2024-12-01,Completed,616.4632388274867,592.1074494599834,24.35578936750335
26,771,2025-09-16,Cancelled,951.93,951.93,0.0
27,846,2025-08-09,Completed,986.4221886967622,972.5400457665904,13.882142930171767
28,771,2025-02-19,Cancelled,572.2894856622667,621.8199802176064,-49.530494555339715
29,668,2025-05-19,Completed,45.72620549141361,45.72620549141361,0.0
30,848,2025-09-24,Completed,1784.59,1784.59,0.0
31,702,2025-03-18,Cancelled,1686.88,1686.88,0.0
32,862,2025-08-24,Completed,610.36,610.36,0.0
33,780,2025-01-24,Cancelled,1456.23,1456.23,0.0
34,649,2025-07-25,Cancelled,1952.34,1952.34,0.0
35,388,2025-02-18,Completed,480.17296313154304,521.730959446093,-41.557996314549996
36,67,2024-12-11,Completed,131.15,131.15,0.0
37,935,2025-02-15,Completed,1345.0,1345.0,0.0
38,368,2025-07-31,Completed,1420.543360566985,1353.6231103076652,66.9202502593198
39,474,2025-07-24,Completed,1122.7017243021814,1160.0551235357811,-37.3533992335997
