order_id,customer_id,order_date,status,total_amount,currency
1,998,2024-12-30 00:00:00,Completed,1831.47,EUR
2,50,2025-03-05 00:00:00,Completed,1205.66,USD
3,451,2025-06-01 00:00:00,Completed,1679.93,EUR
4,184,2025-03-27 00:00:00,Completed,679.39,EUR
5,38,2025-07-24 00:00:00,Completed,633.44,USD
6,921,2025-05-19 00:00:00,completed,47.3,EUR
7,177,2025-07-19 00:00:00,Completed,1891.19,USD
8,280,2025-07-03 00:00:00,Pending,1857.46,USD
9,935,2025-05-02 00:00:00,Pending,252.44,USD
10,341,2025-10-23 00:00:00,Completed,1547.55,USD
11,292,2024-11-24 00:00:00,Pending,824.07,EUR
12,662,2025-01-30 00:00:00,pndng,556.18,EUR
13,212,2025-06-21 00:00:00,Completed,1903.66,USD
14,900,2025-01-07 00:00:00,Pending,1279.04,EUR
15,123,2025-02-19 00:00:00,Pending,427.86,USD
16,184,2025-03-14 00:00:00,pending,10.0,EUR
17,861,2025-05-07 00:00:00,Pending,1936.45,USD
18,301,2025-04-13 00:00:00,Completed,1642.21,EUR
19,733,2025-03-21 00:00:00,Completed,780.18,USD
20,478,2025-06-17 00:00:00,Pending,1158.63,GBP
21,488,2025-03-12 00:00:00,Completed,1808.85,EUR
22,190,2025-02-16 00:00:00,Completed,872.11,EUR
23,600,2025-01-29 00:00:00,Pending,1150.75,EUR
24,235,2025-03-14 00:00:00,Completed,1950.73,USD
25,26,2024-12-01 00:00:00,Completed,641.43,USD
26,771,2025-09-16 00:00:00,Pending,951.93,EUR
27,846,2025-08-09 00:00:00,Completed,850.0,GBP
28,771,2025-02-19 00:00:00,Pending,628.66,USD
29,668,2025-05-19 00:00:00,Completed,47.13,USD
30,848,2025-09-24 00:00:00,completed,1784.59,EUR
31,702,2025-03-18 00:00:00,Pending,1686.88,EUR
32,862,2025-08-24 00:00:00,Completed,610.36,EUR
33,780,2025-01-24 00:00:00,pending,1456.23,EUR
34,649,2025-07-25 00:00:00,Pending,1952.34,EUR
35,388,2025-02-18 00:00:00,Completed,527.47,USD
36,67,2024-12-11 00:00:00,Completed,131.15,EUR
37,935,2025-02-15 00:00:00,Completed,1345.0,EUR
38,368,2025-07-31 00:00:00,Completed,1443.13,USD
39,474,2025-07-24 00:00:00,Completed,1178.5,USD
40,42,2024-11-18 00:00:00,Completed,584.44,EUR
41,70,2025-08-29 00:00:00,pending,601.65,USD
42,852,2025-09-30 00:00:00,Completed,725.11,USD
43,713,2025-05-09 00:00:00,Pending,981.42,EUR
44,474,2025-06-06 00:00:00,pndng,907.75,USD
45,386,2025-03-01 00:00:00,Pending,381.13,EUR
46,8,2025-02-03 00:00:00,Pending,593.74,EUR
47,509,2025-08-31 00:00:00,Pending,17.96,USD
48,872,2025-08-14 00:00:00,Completed,591.41,EUR
49,85,2025-09-03 00:00:00,completed,1016.41,GBP
50,988,2025-10-14 00:00:00,Pending,1800.67,EUR
51,962,2025-11-06 00:00:00,pending,819.27,EUR
52,102,2025-11-14 00:00:00,Completed,1921.91,GBP
53,745,2024-12-17 00:00:00,Pending,1206.21,USD
54,159,2024-12-17 00:00:00,pending,1146.66,EUR
55,279,2025-10-02 00:00:00,pending,1908.38,GBP
56,441,2025-06-17 00:00:00,Pending,700.46,GBP
57,103,2025-11-18 00:00:00,pending,1407.57,USD
58,552,2025-07-28 00:00:00,pending,1269.03,EUR
59,767,2025-08-31 00:00:00,Completed,1416.43,GBP
60,233,2025-09-15 00:00:00,Pending,528.98,USD
61,796,2025-01-01 00:00:00,pndng,243.83,USD
62,216,2025-02-09 00:00:00,Pending,1517.05,USD
63,712,2025-01-09 00:00:00,Completed,1242.11,EUR
64,668,2025-03-04 00:00:00,Completed,1758.14,USD
65,397,2025-09-14 00:00:00,Pending,968.2,EUR
66,683,2025-03-03 00:00:00,Completed,122.37,USD
67,903,2025-01-10 00:00:00,Completed,613.87,USD
68,771,2025-09-02 00:00:00,pending,1839.82,USD
69,962,2025-04-26 00:00:00,Pending,74.46,USD
70,737,2025-08-26 00:00:00,Pending,1451.54,EUR
71,516,2024-11-22 00:00:00,Pending,547.66,EUR
72,248,2025-02-11 00:00:00,Completed,1886.53,USD
73,40,2025-01-30 00:00:00,pndng,268.77,USD
74,845,2025-08-19 00:00:00,Pending,612.09,USD
75,542,2024-12-07 00:00:00,Pending,1410.92,USD
76,735,2025-09-28 00:00:00,completed,542.06,EUR
77,233,2025-11-03 00:00:00,Completed,1996.89,USD
78,133,2025-09-21 00:00:00,Completed,905.99,USD
79,423,2025-01-12 00:00:00,pending,1848.68,EUR
80,705,2025-04-05 00:00:00,pending,1771.53,EUR
81,97,2025-07-06 00:00:00,Pending,1483.67,USD
82,864,2025-03-15 00:00:00,Completed,1128.13,USD
83,194,2025-03-05 00:00:00,Pending,1308.11,EUR
84,707,2025-02-01 00:00:00,Completed,1380.49,EUR
85,718,2025-09-26 00:00:00,pending,1009.56,USD
86,255,2025-05-15 00:00:00,pending,510.36,EUR
87,250,2025-01-10 00:00:00,Pending,1195.69,USD
88,526,2024-12-28 00:00:00,Pending,889.19,USD
89,304,2025-08-06 00:00:00,Completed,584.16,EUR
90,427,2025-10-22 00:00:00,Pending,1831.57,USD
91,200,2025-04-06 00:00:00,Completed,466.92,EUR
92,491,2025-07-20 00:00:00,Completed,1247.13,USD
93,941,2025-02-13 00:00:00,Completed,1787.06,EUR
94,244,2025-10-25 00:00:00,pending,589.08,EUR
95,485,2025-09-07 00:00:00,pending,896.83,GBP
96,500,2025-10-09 00:00:00,pndng,1522.13,EUR
97,253,2025-03-15 00:00:00,pending,1920.13,EUR
98,198,2025-08-23 00:00:00,pending,1522.2,GBP
99,467,2024-12-10 00:00:00,Completed,1572.84,USD
100,205,2025-09-26 00:00:00,Completed,509.83,GBP
101,242,2025-07-06 00:00:00,Completed,875.91,GBP
102,756,2025-02-22 00:00:00,Completed,964.79,USD
103,507,2025-06-19 00:00:00,Pending,112.27,EUR
104,3,2025-06-11 00:00:00,Pending,1806.26,USD
105,376,2025-10-15 00:00:00,Completed,1978.33,USD
106,458,2025-01-07 00:00:00,pndng,312.15,EUR
107,749,2025-03-04 00:00:00,Pending,1167.73,USD
108,682,2025-05-25 00:00:00,Pending,1960.17,EUR
109,426,2025-10-21 00:00:00,pending,839.19,USD
110,67,2025-07-10 00:00:00,pndng,863.83,GBP
111,635,2025-03-12 00:00:00,pending,1595.3,USD
112,776,2025-01-12 00:00:00,Pending,1389.72,EUR
113,79,2025-09-05 00:00:00,Pending,1937.2,USD
114,318,2025-08-24 00:00:00,Completed,1221.41,USD
115,488,2025-07-20 00:00:00,completed,865.5,USD
116,445,2025-09-30 00:00:00,Completed,781.06,USD
117,863,2025-04-03 00:00:00,Pending,907.33,EUR
118,645,2025-01-21 00:00:00,Pending,809.17,USD
119,579,2025-05-19 00:00:00,Completed,765.94,GBP
120,301,2025-04-28 00:00:00,completed,1074.18,EUR
121,893,2025-08-11 00:00:00,pending,440.64,EUR
122,974,2025-06-28 00:00:00,pndng,956.81,USD
123,668,2025-02-07 00:00:00,Pending,1893.11,EUR
124,134,2025-08-15 00:00:00,Completed,1412.53,USD
125,130,2025-06-21 00:00:00,Pending,1266.45,EUR
126,544,2025-06-19 00:00:00,Completed,588.41,GBP
127,928,2025-04-18 00:00:00,pending,1146.83,USD
128,983,2025-04-22 00:00:00,Completed,700.24,EUR
129,803,2025-03-06 00:00:00,Completed,300.51,USD
130,6,2025-03-16 00:00:00,completed,810.56,EUR
131,394,2024-12-11 00:00:00,Completed,442.66,USD
132,595,2025-01-26 00:00:00,Pending,1938.89,USD
133,856,2025-02-23 00:00:00,pending,749.92,USD
134,282,2024-12-01 00:00:00,Completed,919.25,USD
135,884,2025-08-23 00:00:00,pending,467.22,GBP
136,192,2025-10-12 00:00:00,Completed,359.67,EUR
137,320,2025-02-21 00:00:00,Completed,383.13,USD
138,602,2025-02-27 00:00:00,pending,528.87,EUR
139,965,2025-01-21 00:00:00,pndng,502.1,EUR
140,600,2025-02-22 00:00:00,Pending,528.79,EUR
141,758,2024-11-29 00:00:00,Completed,1601.08,USD
142,553,2025-05-28 00:00:00,Completed,1938.58,EUR
143,253,2025-07-04 00:00:00,completed,1467.72,EUR
144,254,2025-05-24 00:00:00,Pending,1086.66,EUR
145,3,2025-11-01 00:00:00,Completed,1166.81,GBP
146,960,2025-06-19 00:00:00,completed,682.89,EUR
147,550,2025-11-17 00:00:00,Pending,1743.15,USD
148,557,2025-09-15 00:00:00,completed,1679.77,USD
149,715,2025-08-03 00:00:00,Completed,1909.23,EUR
150,752,2025-08-07 00:00:00,Pending,1297.91,EUR
151,537,2025-08-24 00:00:00,Completed,1991.66,GBP
152,536,2025-01-07 00:00:00,Pending,1735.45,EUR
153,414,2025-11-11 00:00:00,Completed,1211.42,GBP
154,701,2025-04-30 00:00:00,Completed,1089.13,EUR
155,612,2024-12-25 00:00:00,Completed,1201.65,USD
156,503,2025-08-15 00:00:00,Completed,1816.82,GBP
157,213,2025-11-02 00:00:00,pending,494.94,USD
158,731,2025-08-30 00:00:00,Completed,1290.46,USD
159,711,2025-03-23 00:00:00,Completed,1840.68,USD
160,407,2025-10-25 00:00:00,pending,574.18,USD
161,296,2025-04-06 00:00:00,Completed,1436.2,EUR
162,20,2025-10-23 00:00:00,Completed,153.81,USD
163,618,2025-06-01 00:00:00,completed,1429.34,EUR
164,83,2025-02-07 00:00:00,Completed,1137.12,USD
165,854,2025-02-24 00:00:00,Pending,1654.99,USD
166,28,2025-07-09 00:00:00,Pending,233.02,USD
167,927,2025-10-16 00:00:00,Completed,560.56,GBP
168,163,2025-01-18 00:00:00,Pending,904.79,USD
169,677,2025-02-12 00:00:00,Completed,92.98,EUR
170,91,2025-02-11 00:00:00,Completed,818.21,EUR
171,733,2025-08-20 00:00:00,pending,1171.13,USD
172,132,2025-04-03 00:00:00,completed,1312.53,USD
173,893,2025-04-16 00:00:00,Pending,69.19,EUR
174,911,2024-12-21 00:00:00,Pending,100.33,USD
175,656,2025-11-09 00:00:00,Pending,1162.97,EUR
176,512,2025-03-18 00:00:00,pending,1371.03,EUR
177,380,2024-12-23 00:00:00,Completed,1306.71,USD
178,246,2025-04-27 00:00:00,pending,71.51,USD
179,329,2025-01-31 00:00:00,Completed,401.55,EUR
180,44,2025-03-24 00:00:00,pending,1934.82,USD
181,839,2025-08-06 00:00:00,Completed,1865.82,USD
182,255,2025-02-01 00:00:00,Completed,764.73,EUR
183,960,2025-08-31 00:00:00,Completed,1477.88,USD
184,141,2024-12-09 00:00:00,Completed,341.06,USD
185,626,2025-08-08 00:00:00,Completed,237.73,USD
186,241,2024-11-26 00:00:00,pending,1964.9,USD
187,406,2025-06-11 00:00:00,pending,1571.68,USD
188,868,2025-05-04 00:00:00,Pending,1230.5,EUR
189,57,2024-12-05 00:00:00,Pending,1937.31,EUR
190,358,2025-03-22 00:00:00,Pending,927.71,EUR
191,765,2025-07-21 00:00:00,Completed,662.58,USD
192,329,2025-05-21 00:00:00,pndng,205.18,GBP
193,611,2025-03-06 00:00:00,Completed,530.44,EUR
194,933,2025-08-31 00:00:00,Pending,776.71,USD
195,222,2025-04-29 00:00:00,Completed,1606.69,USD
196,878,2025-07-04 00:00:00,pending,903.24,GBP
197,357,2025-10-05 00:00:00,Completed,897.74,USD
198,448,2025-08-09 00:00:00,Pending,1809.04,USD
199,822,2025-06-02 00:00:00,Pending,1961.42,USD
200,980,2025-05-01 00:00:00,Completed,217.86,USD
201,376,2025-07-28 00:00:00,Completed,710.58,EUR
202,15,2025-10-27 00:00:00,pending,12.84,GBP
203,374,2025-03-05 00:00:00,Completed,1643.19,EUR
204,460,2025-01-08 00:00:00,Completed,1711.12,EUR
205,729,2025-07-31 00:00:00,Pending,1165.59,USD
206,318,2025-04-23 00:00:00,Pending,115.44,USD
207,634,2025-11-07 00:00:00,Pending,1550.17,EUR
208,55,2025-09-27 00:00:00,Pending,1236.95,EUR
209,686,2025-05-01 00:00:00,Pending,882.52,USD
210,833,2025-05-26 00:00:00,Completed,856.5,USD
211,675,2025-03-11 00:00:00,Completed,1295.19,USD
212,60,2024-12-04 00:00:00,Completed,1436.89,USD
213,788,2024-12-15 00:00:00,Completed,502.66,EUR
214,964,2025-05-22 00:00:00,Completed,258.84,EUR
215,836,2025-10-18 00:00:00,Completed,234.27,EUR
216,488,2024-12-12 00:00:00,Pending,84.36,EUR
217,908,2025-09-09 00:00:00,Pending,1466.89,USD
218,553,2025-01-03 00:00:00,Pending,615.67,EUR
219,493,2025-10-02 00:00:00,Pending,790.75,GBP
220,419,2025-07-04 00:00:00,Pending,1927.44,EUR
221,941,2025-09-03 00:00:00,Completed,1086.98,USD
222,875,2025-02-11 00:00:00,Completed,1869.1,EUR
223,768,2025-02-19 00:00:00,Completed,1533.25,USD
224,292,2025-10-11 00:00:00,Completed,914.75,GBP
225,753,2025-02-22 00:00:00,Pending,579.86,USD
226,495,2025-06-29 00:00:00,completed,65.81,USD
227,320,2025-03-09 00:00:00,Completed,1806.22,EUR
228,351,2025-06-08 00:00:00,Pending,1218.13,EUR
229,495,2025-11-02 00:00:00,Completed,1312.59,EUR
230,111,2025-05-09 00:00:00,Pending,930.32,USD
231,816,2025-05-02 00:00:00,Completed,1849.12,EUR
232,360,2025-11-01 00:00:00,Completed,1142.73,EUR
233,784,2025-03-23 00:00:00,Completed,1951.35,EUR
234,219,2025-10-17 00:00:00,pending,518.18,GBP
235,378,2025-01-23 00:00:00,Completed,1501.36,EUR
236,950,2025-08-15 00:00:00,Completed,109.02,EUR
237,446,2025-07-14 00:00:00,pndng,1518.44,EUR
238,366,2025-06-07 00:00:00,Completed,1098.48,GBP
239,777,2024-12-07 00:00:00,Pending,514.7,EUR
240,90,2025-01-22 00:00:00,Completed,410.35,EUR
241,885,2025-11-14 00:00:00,pending,1008.03,USD
242,908,2025-04-24 00:00:00,Completed,1535.96,USD
243,265,2024-12-30 00:00:00,pending,1279.53,EUR
244,745,2025-02-17 00:00:00,Completed,270.19,EUR
245,432,2025-09-20 00:00:00,pndng,1408.13,EUR
246,436,2024-12-16 00:00:00,Completed,1538.29,USD
247,913,2025-03-19 00:00:00,Pending,1611.98,USD
248,358,2025-07-20 00:00:00,Completed,1745.96,USD
249,258,2025-09-30 00:00:00,Pending,664.16,USD
250,200,2024-11-23 00:00:00,Completed,857.42,EUR
251,322,2025-07-21 00:00:00,Completed,1892.99,GBP
252,788,2025-03-19 00:00:00,Completed,879.97,USD
253,298,2025-08-15 00:00:00,Pending,167.67,GBP
254,256,2025-11-07 00:00:00,Pending,95.08,GBP
255,797,2025-02-22 00:00:00,Completed,651.5,EUR
256,906,2024-11-23 00:00:00,Completed,1940.06,USD
257,796,2025-04-13 00:00:00,pending,16.93,EUR
258,186,2025-10-27 00:00:00,Completed,1168.3,EUR
259,902,2025-09-19 00:00:00,completed,719.71,EUR
260,742,2025-10-06 00:00:00,Completed,623.49,GBP
261,21,2025-10-07 00:00:00,Completed,40.33,USD
262,433,2025-04-05 00:00:00,pndng,1919.39,USD
263,460,2025-09-11 00:00:00,pndng,1162.42,USD
264,16,2025-04-22 00:00:00,Pending,96.52,EUR
265,647,2025-05-26 00:00:00,Pending,654.25,USD
266,179,2025-08-01 00:00:00,Completed,1842.98,USD
267,903,2025-04-29 00:00:00,Completed,1131.7,EUR
268,942,2025-02-15 00:00:00,pending,731.97,USD
269,508,2025-04-04 00:00:00,pending,884.82,USD
270,797,2025-08-14 00:00:00,Completed,1666.27,GBP
271,61,2025-01-20 00:00:00,Completed,205.61,USD
272,596,2025-09-16 00:00:00,Completed,1439.25,EUR
273,475,2024-12-29 00:00:00,Pending,1069.56,EUR
274,949,2025-01-16 00:00:00,completed,1270.49,EUR
275,703,2025-06-22 00:00:00,Pending,1612.1,USD
276,237,2025-02-02 00:00:00,Pending,60.31,USD
