payment_id,order_id,payment_date,amount,payment_method
1,1,2025-01-06,1831.47,card
2,2,2025-03-13,1205.66,card
3,3,2025-06-04,1679.93,ideal
4,4,2025-04-02,679.39,card
5,5,2025-08-03,633.44,card
6,7,2025-07-28,1796.31,card
7,7,2025-07-29,54.66,card
8,7,2025-07-22,40.22,bank_transfer
9,8,2025-07-04,1857.46,bank_transfer
10,9,2025-05-06,252.44,card
11,10,2025-10-26,1547.55,bank_transfer
12,11,2024-12-02,824.07,bank_transfer
13,12,2025-02-02,556.18,paypal
14,13,2025-06-26,1903.66,card
15,15,2025-02-24,338.21,paypal
16,15,2025-02-20,27.01,card
17,15,2025-02-26,62.64,card
18,16,2025-03-21,7.94,card
19,16,2025-03-17,1.01,card
20,16,2025-03-18,1.05,paypal
21,18,2025-04-13,1642.21,bank_transfer
22,19,2025-03-31,780.18,bank_transfer
23,20,2025-06-20,433.79,card
24,20,2025-06-25,724.84,bank_transfer
25,21,2025-03-21,510.96,ideal
26,21,2025-03-22,1297.89,ideal
27,22,2025-02-17,872.11,ideal
28,23,2025-02-05,1150.75,bank_transfer
29,25,2024-12-08,641.43,card
30,26,2025-09-21,951.93,card
31,27,2025-08-19,850.0,paypal
32,28,2025-02-26,628.66,card
33,29,2025-05-24,47.13,bank_transfer
34,30,2025-10-01,1784.59,paypal
35,31,2025-03-18,1686.88,paypal
36,32,2025-08-28,610.36,ideal
37,33,2025-01-30,1456.23,paypal
38,34,2025-07-29,1952.34,paypal
39,35,2025-02-26,527.47,ideal
40,36,2024-12-12,100.6,ideal
41,36,2024-12-11,30.55,card
42,37,2025-02-19,1345.0,bank_transfer
43,38,2025-08-04,1378.52,bank_transfer
44,38,2025-08-02,64.61,bank_transfer
45,39,2025-08-03,1178.5,ideal
46,40,2024-11-21,584.44,bank_transfer
47,41,2025-09-06,601.65,card
48,42,2025-09-30,725.11,bank_transfer
49,43,2025-05-16,981.42,card
50,44,2025-06-14,907.75,card
51,45,2025-03-05,381.13,bank_transfer
52,46,2025-02-05,593.74,ideal
53,47,2025-09-01,17.96,card
54,49,2025-09-08,1016.41,ideal
55,50,2025-10-19,1800.67,card
56,51,2025-11-11,819.27,paypal
57,52,2025-11-22,1921.91,card
58,53,2024-12-19,1206.21,paypal
59,54,2024-12-19,1146.66,bank_transfer
60,55,2025-10-05,1908.38,card
61,56,2025-06-24,700.46,card
62,57,2025-11-26,1407.57,card
63,58,2025-07-28,1269.03,nan
64,59,2025-09-02,1416.43,bank_transfer
65,60,2025-09-22,528.98,ideal
66,61,2025-01-08,243.83,card
67,63,2025-01-13,1242.11,card
68,64,2025-03-10,1758.14,bank_transfer
69,65,2025-09-21,968.2,card
70,66,2025-03-07,122.37,card
71,67,2025-01-20,398.6,card
72,67,2025-01-16,215.27,paypal
73,69,2025-04-28,74.46,bank_transfer
74,70,2025-08-28,1451.54,paypal
75,71,2024-11-23,547.66,card
76,72,2025-02-21,1886.53,ideal
77,73,2025-02-02,268.77,ideal
78,74,2025-08-23,612.09,card
79,76,2025-10-03,542.06,nan
80,77,2025-11-09,1975.27,nan
81,77,2025-11-06,21.62,bank_transfer
82,78,2025-09-22,905.99,card
83,79,2025-01-19,1848.68,paypal
84,80,2025-04-07,1771.53,card
85,81,2025-07-06,1483.67,card
86,82,2025-03-15,1128.13,card
87,84,2025-02-11,1380.49,card
88,85,2025-09-28,1009.56,card
89,86,2025-05-20,510.36,card
90,87,2025-01-15,1195.69,ideal
91,88,2025-01-03,889.19,card
92,89,2025-08-08,584.16,nan
93,90,2025-10-22,1242.24,bank_transfer
94,90,2025-10-23,589.33,card
95,91,2025-04-06,466.92,nan
96,92,2025-07-25,1247.13,card
97,93,2025-02-13,1787.06,bank_transfer
98,94,2025-10-26,376.33,ideal
99,94,2025-10-26,212.75,paypal
100,95,2025-09-15,896.83,card
101,96,2025-10-19,1522.13,card
102,97,2025-03-25,1920.13,paypal
103,98,2025-08-30,1522.2,bank_transfer
104,99,2024-12-17,1572.84,ideal
105,100,2025-09-27,509.83,bank_transfer
106,101,2025-07-09,296.83,card
107,101,2025-07-07,480.12,card
108,101,2025-07-08,98.96,bank_transfer
109,102,2025-03-01,964.79,ideal
110,103,2025-06-29,107.85,card
111,103,2025-06-27,4.42,ideal
112,104,2025-06-17,1349.06,ideal
113,104,2025-06-14,370.87,card
114,104,2025-06-11,86.33,bank_transfer
115,105,2025-10-16,1978.33,ideal
116,106,2025-01-10,312.15,card
117,107,2025-03-12,1167.73,ideal
118,108,2025-06-01,1960.17,card
119,110,2025-07-12,863.83,ideal
120,112,2025-01-15,1389.72,card
121,113,2025-09-06,1937.2,card
122,114,2025-08-24,55.2,card
123,114,2025-08-27,1166.21,ideal
124,115,2025-07-26,712.58,ideal
125,115,2025-07-25,101.97,ideal
126,115,2025-07-21,50.95,bank_transfer
127,116,2025-10-05,526.23,ideal
128,116,2025-10-08,129.61,paypal
129,116,2025-10-02,125.22,card
130,117,2025-04-05,907.33,card
131,118,2025-01-23,809.17,ideal
132,119,2025-05-23,765.94,bank_transfer
133,120,2025-05-02,1074.18,paypal
134,121,2025-08-20,440.64,card
135,122,2025-07-06,471.61,ideal
136,122,2025-07-06,485.2,ideal
137,123,2025-02-09,1893.11,ideal
138,124,2025-08-17,59.66,bank_transfer
139,124,2025-08-17,1352.87,bank_transfer
140,125,2025-06-30,1266.45,ideal
141,126,2025-06-19,588.41,bank_transfer
142,127,2025-04-18,1146.83,bank_transfer
143,128,2025-04-28,700.24,paypal
144,129,2025-03-07,300.51,card
145,130,2025-03-24,810.56,card
146,132,2025-01-29,352.85,paypal
147,132,2025-02-01,1586.04,ideal
148,133,2025-02-26,749.92,paypal
149,134,2024-12-08,919.25,ideal
150,135,2025-08-25,467.22,ideal
151,137,2025-02-24,270.01,card
152,137,2025-02-28,113.12,nan
153,138,2025-02-27,528.87,ideal
154,139,2025-01-27,502.1,bank_transfer
155,140,2025-02-24,528.79,paypal
156,141,2024-12-03,1601.08,ideal
157,142,2025-06-07,578.68,ideal
158,142,2025-05-30,1359.9,paypal
159,143,2025-07-04,1467.72,card
160,144,2025-05-27,1086.66,paypal
161,146,2025-06-27,682.89,card
162,148,2025-09-20,1351.1,card
163,148,2025-09-16,181.97,ideal
164,148,2025-09-25,146.7,card
165,149,2025-08-05,1909.23,card
166,150,2025-08-11,1297.91,ideal
167,151,2025-08-28,1991.66,card
168,152,2025-01-11,1735.45,card
169,153,2025-11-13,1211.42,card
170,154,2025-05-03,1089.13,card
171,156,2025-08-19,1816.82,ideal
172,157,2025-11-06,494.94,card
173,158,2025-09-07,1290.46,bank_transfer
174,159,2025-04-01,1840.68,bank_transfer
175,160,2025-10-28,574.18,ideal
176,161,2025-04-15,1436.2,card
177,162,2025-11-02,153.81,ideal
178,163,2025-06-09,1429.34,card
179,164,2025-02-07,1137.12,ideal
180,165,2025-03-03,1654.99,paypal
181,166,2025-07-14,119.03,card
182,166,2025-07-09,113.99,bank_transfer
183,167,2025-10-25,560.56,bank_transfer
184,168,2025-01-24,318.55,nan
185,168,2025-01-24,586.24,paypal
186,169,2025-02-13,92.98,card
187,170,2025-02-20,818.21,card
188,171,2025-08-21,1171.13,ideal
189,172,2025-04-05,349.22,card
190,172,2025-04-13,963.31,card
191,173,2025-04-18,69.19,bank_transfer
192,174,2024-12-24,100.33,ideal
193,175,2025-11-16,1162.97,ideal
194,176,2025-03-23,1371.03,ideal
195,178,2025-04-30,57.47,card
196,178,2025-05-07,14.04,bank_transfer
197,180,2025-03-26,1934.82,card
198,181,2025-08-12,1865.82,card
199,182,2025-02-03,764.73,ideal
200,183,2025-09-09,1477.88,paypal
201,184,2024-12-14,75.53,paypal
202,184,2024-12-10,97.86,paypal
203,184,2024-12-16,167.67,ideal
204,185,2025-08-18,237.73,card
205,186,2024-12-01,1964.9,paypal
206,187,2025-06-12,1571.68,bank_transfer
207,188,2025-05-13,532.84,bank_transfer
208,188,2025-05-09,112.64,ideal
209,188,2025-05-07,585.02,paypal
210,189,2024-12-09,1937.31,ideal
211,190,2025-03-22,927.71,bank_transfer
212,191,2025-07-30,662.58,card
213,192,2025-05-25,205.18,card
214,193,2025-03-09,530.44,ideal
215,194,2025-09-09,776.71,card
216,195,2025-05-01,1606.69,paypal
217,196,2025-07-10,903.24,ideal
218,197,2025-10-10,897.74,card
219,198,2025-08-18,1621.66,card
220,198,2025-08-18,98.66,bank_transfer
221,198,2025-08-17,88.72,ideal
222,199,2025-06-11,1961.42,paypal
223,200,2025-05-07,217.86,ideal
224,201,2025-08-02,710.58,ideal
225,202,2025-10-31,8.1,card
226,202,2025-10-29,4.74,card
