order_id,customer_id,order_date,status,total_amount,currency,status_norm,status_final
1,998,2024-12-30,Completed,1831.47,EUR,Completed,Completed
2,50,2025-03-05,Completed,1205.66,USD,Completed,Completed
3,451,2025-06-01,Completed,1679.93,EUR,Completed,Completed
4,184,2025-03-27,Completed,679.39,EUR,Completed,Completed
5,38,2025-07-24,Completed,633.44,USD,Completed,Completed
6,921,2025-05-19,completed,47.3,EUR,Completed,Completed
7,177,2025-07-19,Completed,1891.19,USD,Completed,Completed
8,280,2025-07-03,Pending,1857.46,USD,Pending,Cancelled
9,935,2025-05-02,Pending,252.44,USD,Pending,Cancelled
10,341,2025-10-23,Completed,1547.55,USD,Completed,Completed
11,292,2024-11-24,Pending,824.07,EUR,Pending,Cancelled
12,662,2025-01-30,pndng,556.18,EUR,Pending,Cancelled
13,212,2025-06-21,Completed,1903.66,USD,Completed,Completed
14,900,2025-01-07,Pending,1279.04,EUR,Pending,Cancelled
15,123,2025-02-19,Pending,427.86,USD,Pending,Cancelled
16,184,2025-03-14,pending,10.0,EUR,Pending,Cancelled
17,861,2025-05-07,Pending,1936.45,USD,Pending,Cancelled
18,301,2025-04-13,Completed,1642.21,EUR,Completed,Completed
19,733,2025-03-21,Completed,780.18,USD,Completed,Completed
20,478,2025-06-17,Pending,1158.63,GBP,Pending,Cancelled
21,488,2025-03-12,Completed,1808.85,EUR,Completed,Completed
22,190,2025-02-16,Completed,872.11,EUR,Completed,Completed
23,600,2025-01-29,Pending,1150.75,EUR,Pending,Cancelled
24,235,2025-03-14,Completed,1950.73,USD,Completed,Completed
25,26,2024-12-01,Completed,641.43,USD,Completed,Completed
26,771,2025-09-16,Pending,951.93,EUR,Pending,Cancelled
27,846,2025-08-09,Completed,850.0,GBP,Completed,Completed
28,771,2025-02-19,Pending,628.66,USD,Pending,Cancelled
29,668,2025-05-19,Completed,47.13,USD,Completed,Completed
30,848,2025-09-24,completed,1784.59,EUR,Completed,Completed
31,702,2025-03-18,Pending,1686.88,EUR,Pending,Cancelled
32,862,2025-08-24,Completed,610.36,EUR,Completed,Completed
33,780,2025-01-24,pending,1456.23,EUR,Pending,Cancelled
34,649,2025-07-25,Pending,1952.34,EUR,Pending,Cancelled
35,388,2025-02-18,Completed,527.47,USD,Completed,Completed
36,67,2024-12-11,Completed,131.15,EUR,Completed,Completed
37,935,2025-02-15,Completed,1345.0,EUR,Completed,Completed
38,368,2025-07-31,Completed,1443.13,USD,Completed,Completed
39,474,2025-07-24,Completed,1178.5,USD,Completed,Completed
40,42,2024-11-18,Completed,584.44,EUR,Completed,Completed
41,70,2025-08-29,pending,601.65,USD,Pending,Cancelled
42,852,2025-09-30,Completed,725.11,USD,Completed,Completed
43,713,2025-05-09,Pending,981.42,EUR,Pending,Cancelled
